Status,Daily Review,WeekKey,Date,duration (m)f,start time,end time,Type,Notes,Cognitive Headroom,Focus,Friction,Deep Score,Deep Flag,Deep Work Min,作成日時,In This Week,In Last Week,Interview Min,Prep Min,WrapUp Min,TI Min," learning content"
Done,12/23 (https://www.notion.so/12-23-2d5d5c5438fd81afa55fd76ec25924bb?pvs=21),2025-W52,2025-12-23,56,"December 23, 2025 9:13 AM (GMT+9)","December 23, 2025 10:09 AM (GMT+9)",,"やった：運動後に30m好きなことを実施してこのセッション実施
詰まった/気づいた：頭がスッキリした感覚がり、xを触ろうと思ってもメタ認知が働いていた
次：",5,4,1,4.7,Yes,56,"December 26, 2025 4:27 PM",No,No,0,0,0,,
Done,12/22 (https://www.notion.so/12-22-2d5d5c5438fd818e98dbe5425f178774?pvs=21),2025-W52,2025-12-22,26,"December 22, 2025 6:23 AM (GMT+9)","December 22, 2025 6:49 AM (GMT+9)",,"やった：ペパーミント準備して眠いが学習スタート
詰まった/気づいた：眠気で集中して学習はできておらず何度か別のことに意識が逸れていた
次：カリキュラムのフラッシュ実装を始める",3,3,3,3,No,0,"December 26, 2025 8:25 PM",No,No,0,0,0,,
Done,12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-W52,2025-12-25,42,"December 25, 2025 7:54 AM (GMT+9)","December 25, 2025 8:36 AM (GMT+9)",,"やった：夕食後に少しリラックスしながら
詰まった/気づいた：技術面談のまとめが共有になるので少しめんどい時はそれを共有するkだけでokになる
次：",2,2,4,2,No,0,"December 26, 2025 9:11 PM",No,No,0,0,0,,
Done,12/22 (https://www.notion.so/12-22-2d5d5c5438fd818e98dbe5425f178774?pvs=21),2025-W52,2025-12-22,26,"December 22, 2025 5:25 PM (GMT+9)","December 22, 2025 5:51 PM (GMT+9)",,"やった：バスで帰宅中にPC一台で学習
詰まった/気づいた：画面が人のためページ移動で集中力なくなる
次：",3,2,4,2.3,No,0,"December 26, 2025 9:11 PM",No,No,0,0,0,,
Done,12/22 (https://www.notion.so/12-22-2d5d5c5438fd818e98dbe5425f178774?pvs=21),2025-W52,2025-12-22,60,"December 22, 2025 7:32 PM (GMT+9)","December 22, 2025 8:32 PM (GMT+9)",,"やった：企画のイラストをchatgptで作成しながらカリキュラム
詰まった/気づいた：企画用のイラスト作成の反応が気になりカリキュラム中にxの反応チェック
次：xは明日チェック",3,2,4,2.3,No,0,"December 26, 2025 9:13 PM",No,No,0,0,0,,
Done,12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-W52,2025-12-23,25,"December 23, 2025 5:21 PM (GMT+9)","December 23, 2025 5:46 PM (GMT+9)",,"やった：シフト休憩中に昨日やっていなかった機能の学習の振り返り
詰まった/気づいた：仕事で少しミスや苦手な人の場合学習に思いっきり集中できない
次：帰宅してから寝る前に今日の振り返りを行う",2,3,2,3,No,0,"December 26, 2025 9:18 PM",No,No,0,0,0,,
Done,12/27 (https://www.notion.so/12-27-2d5d5c5438fd807882b2dc07096ddd7b?pvs=21),2025-W52,2025-12-27,20,"December 27, 2025 7:06 AM (GMT+9)","December 27, 2025 7:26 AM (GMT+9)",,"やった：Gemの環境設定
詰まった/気づいた：少し気持ち的な焦りやシフトに対するめんどくさい気持ちがある
次：",4,4,3,3.7,No,0,"December 27, 2025 7:06 AM",No,No,0,0,0,,
Done,12/27 (https://www.notion.so/12-27-2d5d5c5438fd807882b2dc07096ddd7b?pvs=21),2025-W52,2025-12-27,31,"December 27, 2025 12:09 PM (GMT+9)","December 27, 2025 12:40 PM (GMT+9)",📚 読書,"やった：モデル定義時の
mount_uploaderについて疑問を感じてランテくんに質問
詰まった/気づいた：言語化を問われるので理解の学習になる
次：",3,4,4,3,No,0,"December 27, 2025 12:09 PM",No,No,0,0,0,,
Done,12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-W52,2025-12-25,59,"December 25, 2025 3:17 PM (GMT+9)","December 25, 2025 4:16 PM (GMT+9)",,"やった：実装課題で機体処理が出ない
詰まった/気づいた：エラーが出て進まないことにイライラしたが、ログを見ることを意識してDockerでエラーログを発見することができた
次：",3,4,4,3,No,0,"December 27, 2025 5:37 PM",No,No,0,0,0,,
Done,12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-W52,2025-12-25,57,"December 25, 2025 1:40 PM (GMT+9)","December 25, 2025 2:37 PM (GMT+9)",,"やった：掲示板作成の実装。createアクションの処理学習
詰まった/気づいた：異なるクラスのモデル利用を定義するためのコーディング理解
次：",4,4,3,3.7,No,0,"December 27, 2025 5:38 PM",No,No,0,0,0,,
Done,12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-W52,2025-12-25,12,"December 25, 2025 7:03 AM (GMT+9)","December 25, 2025 7:15 AM (GMT+9)",,"やった：Discordで挨拶をしてから学習に集中すると宣言。カレンダーから1日の学習可能時間を計測して、目標を立てる
詰まった/気づいた：none
次：",4,3,2,3.7,No,0,"December 27, 2025 5:38 PM",No,No,0,0,0,,
Done,12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-W52,2025-12-25,75,"December 25, 2025 7:15 AM (GMT+9)","December 25, 2025 8:30 AM (GMT+9)",,"やった：急にやりたいこと例)Amazonで買い物やsnsでの連絡など、を紙に書き出して後にすれば良いと考えてタスクを続けた
詰まった/気づいた：紙に書き出すと衝動が抑えられる
次：今日はぽもではなく午前に設定したブロックで休憩のタイミングで休憩をしていく",4,4,1,4.3,Yes,75,"December 27, 2025 5:43 PM",No,No,0,0,0,,
Done,12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-W52,2025-12-25,94,"December 25, 2025 10:40 AM (GMT+9)","December 25, 2025 12:14 PM (GMT+9)",,"やった：課題実装が１セッションで完了したのでそのまま技術面談ブロックに突入
詰まった/気づいた：口頭で伝える時には
この結論になりました。
それにいたった背景を説明していきます。
とやるのが良い
次：説明セットを用意しておく",5,5,1,5,Yes,94,"December 27, 2025 5:43 PM",No,No,0,0,0,,
Done,12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-W52,2025-12-25,89,"December 25, 2025 8:45 AM (GMT+9)","December 25, 2025 10:14 AM (GMT+9)",,"やった：アソシエーションについてchatgptを利用して解説と参照ドキュメントの提示。さらに解説
詰まった/気づいた：26m x 4m休みの３セットめは集中力が少しなくなる。でも学習はできた
次：理解をまとめるために技術面談で質問。次のセットでまとめる時間を作る",5,4,1,4.7,Yes,89,"December 27, 2025 5:43 PM",No,No,0,0,0,,
Done,12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-W52,2025-12-25,44,"December 25, 2025 5:33 PM (GMT+9)","December 25, 2025 6:17 PM (GMT+9)",,"やった：エラーログからランテくんaiに原因分析を手伝ってもらう
詰まった/気づいた：new アクションの定義不足
次：",4,4,2,4,Yes,44,"December 27, 2025 5:46 PM",No,No,0,0,0,,
Done,12/26 (https://www.notion.so/12-26-2d5d5c5438fd8076a46dcb166a8fc339?pvs=21),2025-W52,2025-12-26,57,"December 26, 2025 10:31 AM (GMT+9)","December 26, 2025 11:28 AM (GMT+9)",,"やった：2つのエラーフィックスで課題クリア
詰まった/気づいた：1つめのエラーはログから単純なスペルミス。2つめのエラーはログから変数の受け渡しのための変数定義ができていないことに気づいた
次：講師との会話練習をするために、アプリアイデアをまとめるためにカリキュラム進捗を一旦終了する",5,4,2,4.3,Yes,57,"December 27, 2025 5:50 PM",No,No,0,0,0,,
Done,12/26 (https://www.notion.so/12-26-2d5d5c5438fd8076a46dcb166a8fc339?pvs=21),2025-W52,2025-12-26,58,"December 26, 2025 9:14 AM (GMT+9)","December 26, 2025 10:12 AM (GMT+9)",,"やった：エラーオブジェクト、処理フローについて基礎学習
詰まった/気づいた：エラーメッセのパーシャルファイルをどうやって使うのがで詰まっている。でもトレーニングを実施した後は基礎学習のためのリサーチやエラーについて仮説や自問自答がすぐできている
次：エラーメッセージを解読。26mでできなければ技術面談を使用する",5,4,4,3.7,No,0,"December 27, 2025 6:59 PM",No,No,0,0,0,,
Done,12/26 (https://www.notion.so/12-26-2d5d5c5438fd8076a46dcb166a8fc339?pvs=21),2025-W52,2025-12-26,27,"December 26, 2025 7:28 AM (GMT+9)","December 26, 2025 7:55 AM (GMT+9)",,"やった：
詰まった/気づいた：
次：",3,3,3,3,No,0,"December 27, 2025 6:59 PM",No,No,0,0,0,,
Done,12/26 (https://www.notion.so/12-26-2d5d5c5438fd8076a46dcb166a8fc339?pvs=21),2025-W52,2025-12-26,36,"December 26, 2025 6:52 AM (GMT+9)","December 26, 2025 7:28 AM (GMT+9)",,"やった：学習計画をdiscrodでchatをしながら行い、学習計画をシェアした後にxの返信をしていた
詰まった/気づいた：
次：",3,3,3,3,No,0,"December 27, 2025 6:59 PM",No,No,0,0,0,,
Done,12/29 (https://www.notion.so/12-29-2d7d5c5438fd80d0ae25c35fcc7dc917?pvs=21),2026-W01,2025-12-29,27,"December 29, 2025 7:50 AM (GMT+9)","December 29, 2025 8:17 AM (GMT+9)",,"やった：アップロード課題。インスタンスに属性が追加されるということについて学習
詰まった/気づいた：少し集中できていない感覚
次：",4,3,3,3.3,No,0,"December 29, 2025 7:50 AM",No,No,0,0,0,,
Done,12/29 (https://www.notion.so/12-29-2d7d5c5438fd80d0ae25c35fcc7dc917?pvs=21),2026-W01,2025-12-29,57,"December 29, 2025 10:02 AM (GMT+9)","December 29, 2025 10:59 AM (GMT+9)",,"やった：boardインスタンスとboard.board_imageオブジェクトの関係について
詰まった/気づいた：関係性の概念の言語化ができずにらんてくで質問を繰り返す
次：一旦終えてxでシェア。のりぴーさんにに質問する",5,5,4,4,Yes,57,"December 29, 2025 10:02 AM",No,No,0,0,0,,
Done,12/29 (https://www.notion.so/12-29-2d7d5c5438fd80d0ae25c35fcc7dc917?pvs=21),2026-W01,2025-12-29,16,"December 29, 2025 11:14 AM (GMT+9)","December 29, 2025 11:30 AM (GMT+9)",,"やった：詳細機能/コメントの実装に必要な概念書き出し
詰まった/気づいた：
次：カリキュラムスタート",5,4,2,4.3,Yes,16,"December 29, 2025 11:14 AM",No,No,0,0,0,,
Done,12/29 (https://www.notion.so/12-29-2d7d5c5438fd80d0ae25c35fcc7dc917?pvs=21),2026-W01,2025-12-29,43,"December 29, 2025 5:23 PM (GMT+9)","December 29, 2025 6:06 PM (GMT+9)",,"やった：学習まとめ
詰まった/気づいた：
次：",3,4,2,3.7,No,0,"December 29, 2025 6:06 PM",No,No,0,0,0,,
Done,12/30  (https://www.notion.so/12-30-2d8d5c5438fd80ac935dd4385ba63ea1?pvs=21),2026-W01,2025-12-30,16,"December 30, 2025 6:47 AM (GMT+9)","December 30, 2025 7:03 AM (GMT+9)",,"やった：夕食後ipadはリビングへ。寝室には持っていかず本だけを読んだ
詰まった/気づいた：少し眠い感じはあるがipadを使って寝た時よりも気分は軽い。
次：カリキュラムのインプットを進める",4,4,1,4.3,Yes,16,"December 30, 2025 6:47 AM",No,No,0,0,0,,
Done,12/30  (https://www.notion.so/12-30-2d8d5c5438fd80ac935dd4385ba63ea1?pvs=21),2026-W01,2025-12-30,27,"December 30, 2025 7:06 AM (GMT+9)","December 30, 2025 7:33 AM (GMT+9)",,"やった：form_with postで生成されるネストデータについて学習
詰まった/気づいた：やっぱりdiscrodのチャットは確認しない方が朝の集中は確保できる
次：",4,4,2,4,Yes,27,"December 30, 2025 7:32 AM",No,No,0,0,0,,
Done,12/30  (https://www.notion.so/12-30-2d8d5c5438fd80ac935dd4385ba63ea1?pvs=21),2026-W01,2025-12-30,54,"December 30, 2025 9:26 AM (GMT+9)","December 30, 2025 10:20 AM (GMT+9)",,"やった：リソースのネストルーティングについて
詰まった/気づいた：ネストルーティングについてカリキュラム内容の理解煮詰まり、chatやxの確認に注意が何度か逸れる
次：次のぽもで疑問点をcabinetに書き出し。学習項目の設定を行う",3,3,3,3,No,0,"December 30, 2025 9:26 AM",No,No,0,0,0,,
Done,12/30  (https://www.notion.so/12-30-2d8d5c5438fd80ac935dd4385ba63ea1?pvs=21),2026-W01,2025-12-30,37,"December 30, 2025 10:53 AM (GMT+9)","December 30, 2025 11:30 AM (GMT+9)",,"やった：ペパーミント準備して眠いが学習スタート
詰まった/気づいた：眠気で集中して学習はできておらず何度か別のことに意識が逸れていた
次：カリキュラムのフラッシュ実装を始める",4,4,4,3.3,No,0,"December 30, 2025 10:53 AM",No,No,0,0,0,,
Done,12/30  (https://www.notion.so/12-30-2d8d5c5438fd80ac935dd4385ba63ea1?pvs=21),2026-W01,2025-12-30,25,"December 30, 2025 5:48 PM (GMT+9)","December 30, 2025 6:13 PM (GMT+9)",,"やった：学習ログのみ振り返り。学習まとめは明日でもよき
詰まった/気づいた：余裕がない時はその日の状態や学習についてのデータ記入のみでokにする
次：学習の続きを明日の午前して、明日の振り返りと一緒に登校する",2,3,3,2.7,No,0,"December 30, 2025 5:48 PM",No,No,0,0,0,,
Done,12/31 (https://www.notion.so/12-31-2d9d5c5438fd80159ffcf267096127b5?pvs=21),2026-W01,2025-12-31,62,"December 31, 2025 6:18 AM (GMT+9)","December 31, 2025 7:20 AM (GMT+9)",,"やった：Cursorを使った朝の学習計画運用構築
詰まった/気づいた：
次：",5,5,1,5,Yes,62,"December 31, 2025 6:18 AM",No,No,0,0,0,,
Done,12/31 (https://www.notion.so/12-31-2d9d5c5438fd80159ffcf267096127b5?pvs=21),2026-W01,2025-12-31,26,"December 31, 2025 7:23 AM (GMT+9)","December 31, 2025 7:49 AM (GMT+9)",,,,,,2,No,0,"December 31, 2025 7:49 AM",No,No,0,0,0,,
Done,12/31 (https://www.notion.so/12-31-2d9d5c5438fd80159ffcf267096127b5?pvs=21),2026-W01,2025-12-31,25,"December 31, 2025 9:25 AM (GMT+9)","December 31, 2025 9:50 AM (GMT+9)",,"やった：form_withのurlオプションでのパスについての詳細な理解は一旦おいてカリキュラムを進めた
詰まった/気づいた：理解できていないとこを理解して進めていて、どうやって深ぼれば良いかを把握して飛ばしているのでよき。カリキュラムを進めることで他の箇所の解説と疑問点が結びつくことがあるのでよき。
次：26mで進む戦略はとても良い",5,4,2,4.3,Yes,25,"December 31, 2025 9:25 AM",No,No,0,0,0,,
Done,12/31 (https://www.notion.so/12-31-2d9d5c5438fd80159ffcf267096127b5?pvs=21),2026-W01,2025-12-31,58,"December 31, 2025 11:46 AM (GMT+9)","December 31, 2025 12:44 PM (GMT+9)",,"やった：実装課題：commentsのコントローラー作成
詰まった/気づいた：Commentsモデルなのか、currentユーザーなのか理解に詰まっる
次：現状の学習状況と詰まっているとこを夕食後の時間にまとめる。",4,4,5,3,No,0,"December 31, 2025 11:52 AM",No,No,0,0,0,,
Done,1/1 (https://www.notion.so/1-1-2dad5c5438fd80c78624f6affa028076?pvs=21),2026-W01,2026-01-01,52,"January 1, 2026 7:34 AM (GMT+9)","January 1, 2026 8:26 AM (GMT+9)",,"やった：学習計画をせずにそのままエラー解決のために学習を即スタート
詰まった/気づいた：睡眠を優先してしっかり寝たので寝起きスッキリで、だらけたい葛藤はあったが学習をすぐにスタートできた
次：",5,5,2,4.7,Yes,52,"January 1, 2026 7:34 AM",No,No,0,0,0,,
Done,1/1 (https://www.notion.so/1-1-2dad5c5438fd80c78624f6affa028076?pvs=21),2026-W01,2026-01-01,60,"January 1, 2026 9:16 AM (GMT+9)","January 1, 2026 10:16 AM (GMT+9)",,"やった：エラーログに対しての理解をらんてくんで壁打ちしながらでバッグ
詰まった/気づいた：ルーティング設計について理解が不十分だった
次：14時からこのカリキュラムについていったん理解をまとめる時間26m x 2儲ける",4,4,2,4,Yes,60,"January 1, 2026 9:16 AM",No,No,0,0,0,,
Done,1/1 (https://www.notion.so/1-1-2dad5c5438fd80c78624f6affa028076?pvs=21),2026-W01,2026-01-01,13,"January 1, 2026 10:44 AM (GMT+9)","January 1, 2026 10:57 AM (GMT+9)",,"やった：サックと理解をさらう程度の気持ちでカリキュラムを進める
詰まった/気づいた：短い時間でも進めることできると気づいた
次：のりぴーさんとmtg",,,,2,No,0,"January 1, 2026 10:44 AM",No,No,0,0,0,,
Done,1/1 (https://www.notion.so/1-1-2dad5c5438fd80c78624f6affa028076?pvs=21),2026-W01,2026-01-01,140,"January 1, 2026 10:58 AM (GMT+9)","January 1, 2026 1:18 PM (GMT+9)",,"やった：のりぴーさんとのsql技術談義
詰まった/気づいた：
次：",5,3,2,4,Yes,140,"January 1, 2026 10:58 AM",No,No,0,0,0,,
Done,1/1 (https://www.notion.so/1-1-2dad5c5438fd80c78624f6affa028076?pvs=21),2026-W01,2026-01-01,40,"January 1, 2026 3:13 PM (GMT+9)","January 1, 2026 3:53 PM (GMT+9)",,"やった：昼寝散歩をしてココア準備してカリキュラム学習
詰まった/気づいた：ふーんという感じで軽く攫ったので早く終えることができた。この時間帯でもサボるかという気持ちはあまりなく集中してできていた
次：",4,4,1,4.3,Yes,40,"January 1, 2026 3:13 PM",No,No,0,0,0,,
Done,1/1 (https://www.notion.so/1-1-2dad5c5438fd80c78624f6affa028076?pvs=21),2026-W01,2026-01-01,40,"January 1, 2026 5:28 PM (GMT+9)","January 1, 2026 6:08 PM (GMT+9)",,"やった：学習ノートまとめ
詰まった/気づいた：学習中の疑問や詰まった箇所がcabinetには一定なので振り返りが少しむずい
次：ランテくんに質問するたびにページを作成して、都度コメントを作っておく",4,2,3,3,No,0,"January 1, 2026 5:28 PM",No,No,0,0,0,,
Done,1/1 (https://www.notion.so/1-1-2dad5c5438fd80c78624f6affa028076?pvs=21),2026-W01,2026-01-01,31,"January 1, 2026 6:10 PM (GMT+9)","January 1, 2026 6:41 PM (GMT+9)",,"やった：学習の振り返り
詰まった/気づいた：テンプレートとして学習のまとめを標準化する必要あり
次：",3,3,3,3,No,0,"January 1, 2026 6:10 PM",No,No,0,0,0,,
Done,1/2 (https://www.notion.so/1-2-2dcd5c5438fd80af9b07cd26d8eec61c?pvs=21),2026-W01,2026-01-02,58,"January 2, 2026 11:13 AM (GMT+9)","January 2, 2026 12:11 PM (GMT+9)",,"やった：カリキュラムスタート
詰まった/気づいた：昨日詰まったルーティングの内容が理解できているので進めるのがスムーズだった
次：",5,4,2,4.3,Yes,58,"January 2, 2026 11:13 AM",No,No,0,0,0,,
Done,1/2 (https://www.notion.so/1-2-2dcd5c5438fd80af9b07cd26d8eec61c?pvs=21),2026-W01,2026-01-02,43,"January 2, 2026 12:32 PM (GMT+9)","January 2, 2026 1:15 PM (GMT+9)",,"やった：掲示板編集、削除機能実装
詰まった/気づいた：詰まった時に都度notionメモに書くと仮説の検証方法を考えることができるて集中できていた
次：",4,4,2,4,Yes,43,"January 2, 2026 12:32 PM",No,No,0,0,0,,
Done,,2026-W01,2026-01-03,18,"January 3, 2026 12:28 PM (GMT+9)","January 3, 2026 12:46 PM (GMT+9)",,"やった：mottermostにてシェア
詰まった/気づいた：
次：",4,4,2,4,Yes,18,"January 3, 2026 12:28 PM",No,No,0,0,0,,
Done,,2026-W01,2026-01-04,22,"January 4, 2026 5:53 PM (GMT+9)","January 4, 2026 6:15 PM (GMT+9)",,"やった：学習ログmd変換
詰まった/気づいた：　仕事でミスをして上司にキツイ口調で言われて、そのことばかりを反芻してしまって少し集中ができていなかった
次：",3,2,2,3,No,0,"January 4, 2026 5:53 PM",No,No,0,0,0,,
Done,,2026-W02,2026-01-05,35,"January 5, 2026 10:05 AM (GMT+9)","January 5, 2026 10:40 AM (GMT+9)",,,,,,2,No,0,"January 5, 2026 10:05 AM",No,No,0,0,0,,
Done,1/6 (https://www.notion.so/1-6-2dfd5c5438fd80bb8e4ad59309e7de71?pvs=21),2026-W02,2026-01-06,19,"January 6, 2026 7:43 AM (GMT+9)","January 6, 2026 8:02 AM (GMT+9)",,"やった：学習計画、mottermost,xシェア
詰まった/気づいた：前日の睡眠が良いとスッキリしているし、7時の起きると焦りの感覚もない
次：",5,5,1,5,Yes,19,"January 6, 2026 7:43 AM",No,No,0,0,0,,
Done,1/6 (https://www.notion.so/1-6-2dfd5c5438fd80bb8e4ad59309e7de71?pvs=21),2026-W02,2026-01-06,26,"January 6, 2026 9:24 AM (GMT+9)","January 6, 2026 9:50 AM (GMT+9)",,"やった：デバッグ入門カリキュラム残り
詰まった/気づいた：スプリント週間のような焦りがなくリラックスしている感覚がある
次：のりぴーさんとのmtg",5,5,2,4.7,Yes,26,"January 6, 2026 9:24 AM",No,No,0,0,0,,
Done,1/12 (https://www.notion.so/1-12-2e6d5c5438fd806997fefc40879737cf?pvs=21),2026-W03,2026-01-12,33,"January 12, 2026 6:33 AM (GMT+9)","January 12, 2026 7:06 AM (GMT+9)",,"やった：docker エラーログの質問ための準備
詰まった/気づいた：
次：",4,5,5,3.3,No,0,"January 12, 2026 6:33 AM",No,No,0,0,0,,
Done,1/12 (https://www.notion.so/1-12-2e6d5c5438fd806997fefc40879737cf?pvs=21),2026-W03,2026-01-12,20,"January 12, 2026 12:19 PM (GMT+9)","January 12, 2026 12:39 PM (GMT+9)",Prep,"やった：技術面談のための質問準備
詰まった/気づいた：まとめる時は集中力が高くなっている
次：",5,5,2,4.7,Yes,20,"January 12, 2026 12:19 PM",No,No,0,20,0,,
Done,1/12 (https://www.notion.so/1-12-2e6d5c5438fd806997fefc40879737cf?pvs=21),2026-W03,2026-01-12,10,"January 12, 2026 7:11 PM (GMT+9)","January 12, 2026 7:21 PM (GMT+9)",,"やった：RunteqReport提出
詰まった/気づいた：まとめる時は集中力が高くなっている
次：",3,3,1,3.7,No,0,"January 12, 2026 7:11 PM",No,No,0,0,0,,
Done,1/12 (https://www.notion.so/1-12-2e6d5c5438fd806997fefc40879737cf?pvs=21),2026-W03,2026-01-12,63,"January 12, 2026 7:30 PM (GMT+9)","January 12, 2026 8:33 PM (GMT+9)",,"やった：26m x 2 10分休憩　JSカリキュラム
詰まった/気づいた：後半のセットは集中力がなくなっていてアニメを見たい等気持ちがあった
次：",4,3,2,3.7,No,0,"January 12, 2026 7:30 PM",No,No,0,0,0,,
Done,1/13 (https://www.notion.so/1-13-2e6d5c5438fd80048f4efbd84ae74338?pvs=21),2026-W03,2026-01-13,8,"January 13, 2026 6:47 AM (GMT+9)","January 13, 2026 6:55 AM (GMT+9)",,"やった：学種計画と1日の計画
詰まった/気づいた：
次：",5,5,1,5,Yes,8,"January 13, 2026 6:47 AM",No,No,0,0,0,,
Done,1/13 (https://www.notion.so/1-13-2e6d5c5438fd80048f4efbd84ae74338?pvs=21),2026-W03,2026-01-13,30,"January 13, 2026 6:56 AM (GMT+9)","January 13, 2026 7:26 AM (GMT+9)",,"やった： JSカリキュラム　DMO操作学習
詰まった/気づいた：少し集中力が逸れてコーヒーが飲みたくなってきている
次：",5,4,1,4.7,Yes,30,"January 13, 2026 6:56 AM",No,No,0,0,0,,
Done,1/13 (https://www.notion.so/1-13-2e6d5c5438fd80048f4efbd84ae74338?pvs=21),2026-W03,2026-01-13,27,"January 13, 2026 7:46 AM (GMT+9)","January 13, 2026 8:13 AM (GMT+9)",,"やった： JSカリキュラム　DMO操作学習
詰まった/気づいた：JSは一度独学しているのでさらっと確認程度でもok
次：",5,5,1,5,Yes,27,"January 13, 2026 7:46 AM",No,No,0,0,0,,
Done,1/13 (https://www.notion.so/1-13-2e6d5c5438fd80048f4efbd84ae74338?pvs=21),2026-W03,2026-01-13,59,"January 13, 2026 9:15 AM (GMT+9)","January 13, 2026 10:14 AM (GMT+9)",,"やった： JSカリキュラム　DMO操作学習
詰まった/気づいた：後半のセッションで面接で落ちたバイトのことをリサーチして、これ受かってたらなという現実逃避のためにネットサーフィンに注意逸れることが２回あった
次：",5,4,2,4.3,Yes,59,"January 13, 2026 9:15 AM",No,No,0,0,0,,
Done,1/13 (https://www.notion.so/1-13-2e6d5c5438fd80048f4efbd84ae74338?pvs=21),2026-W03,2026-01-13,10,"January 13, 2026 10:33 AM (GMT+9)","January 13, 2026 10:43 AM (GMT+9)",Prep,"やった：受付フォームへ投稿のため準備
詰まった/気づいた：後半のセッションで面接で落ちたバイトのことをリサーチして、これ受かってたらなという現実逃避のためにネットサーフィンに注意逸れることが２回あった
次：",,,,2,No,0,"January 13, 2026 10:33 AM",No,No,0,10,0,,
Done,1/13 (https://www.notion.so/1-13-2e6d5c5438fd80048f4efbd84ae74338?pvs=21),2026-W03,2026-01-13,32,"January 13, 2026 10:58 AM (GMT+9)","January 13, 2026 11:30 AM (GMT+9)",Interview,"やった：技術面談
詰まった/気づいた：
次：",,,,2,No,0,"January 13, 2026 10:58 AM",No,No,32,0,0,,
Done,1/13 (https://www.notion.so/1-13-2e6d5c5438fd80048f4efbd84ae74338?pvs=21),2026-W03,2026-01-13,32,"January 13, 2026 5:14 PM (GMT+9)","January 13, 2026 5:46 PM (GMT+9)",,"やった：学習まとめとmottermostシェア
詰まった/気づいた：
次：",4,3,3,3.3,No,0,"January 13, 2026 5:14 PM",No,No,0,0,0,,
