Daily Review,Date,duration (m),start time,end time,Notes,Cognitive Headroom,Focus,Friction,Deep Score,Deep Flag,Distractions Tag,Context Tags,Friction Tags,Recovery Tags,Deep Work Min," learning content",作成日時
12/27 (https://www.notion.so/12-27-2d5d5c5438fd807882b2dc07096ddd7b?pvs=21),2025-12-27,31,"December 27, 2025 12:09 PM (GMT+9)","December 27, 2025 12:40 PM (GMT+9)","やった：モデル定義時の
mount_uploaderについて疑問を感じてランテくんに質問
詰まった/気づいた：言語化を問われるので理解の学習になる
次：",3,4,4,3,No,,,.F_次の一手が不明 (https://www.notion.so/F_-2d5d5c5438fd8155a0b1ee6060edf667?pvs=21),,0,,"December 27, 2025 12:09 PM"
12/27 (https://www.notion.so/12-27-2d5d5c5438fd807882b2dc07096ddd7b?pvs=21),2025-12-27,20,"December 27, 2025 7:06 AM (GMT+9)","December 27, 2025 7:26 AM (GMT+9)","やった：Gemの環境設定
詰まった/気づいた：少し気持ち的な焦りやシフトに対するめんどくさい気持ちがある
次：",4,4,3,3.7,No,,,,,0,,"December 27, 2025 7:06 AM"
12/26 (https://www.notion.so/12-26-2d5d5c5438fd8076a46dcb166a8fc339?pvs=21),2025-12-26,57,"December 26, 2025 10:31 AM (GMT+9)","December 26, 2025 11:28 AM (GMT+9)","やった：2つのエラーフィックスで課題クリア
詰まった/気づいた：1つめのエラーはログから単純なスペルミス。2つめのエラーはログから変数の受け渡しのための変数定義ができていないことに気づいた
次：講師との会話練習をするために、アプリアイデアをまとめるためにカリキュラム進捗を一旦終了する",5,4,2,4.3,Yes,,,.F_詰まり（バグ沼） (https://www.notion.so/F_-2d5d5c5438fd812eaa73faf579b1cc4e?pvs=21),.R_5分散歩 (https://www.notion.so/R_5-2d5d5c5438fd812aa46be1981ba24428?pvs=21),57,,"December 27, 2025 5:50 PM"
12/26 (https://www.notion.so/12-26-2d5d5c5438fd8076a46dcb166a8fc339?pvs=21),2025-12-26,58,"December 26, 2025 9:14 AM (GMT+9)","December 26, 2025 10:12 AM (GMT+9)","やった：エラーオブジェクト、処理フローについて基礎学習
詰まった/気づいた：エラーメッセのパーシャルファイルをどうやって使うのがで詰まっている。でもトレーニングを実施した後は基礎学習のためのリサーチやエラーについて仮説や自問自答がすぐできている
次：エラーメッセージを解読。26mでできなければ技術面談を使用する",5,4,4,3.7,No,,,.F_詰まり（バグ沼） (https://www.notion.so/F_-2d5d5c5438fd812eaa73faf579b1cc4e?pvs=21),,0,,"December 27, 2025 6:59 PM"
12/26 (https://www.notion.so/12-26-2d5d5c5438fd8076a46dcb166a8fc339?pvs=21),2025-12-26,27,"December 26, 2025 7:28 AM (GMT+9)","December 26, 2025 7:55 AM (GMT+9)","やった：
詰まった/気づいた：
次：",3,3,3,3,No,"chat, sleepy",,.F_詰まり（バグ沼） (https://www.notion.so/F_-2d5d5c5438fd812eaa73faf579b1cc4e?pvs=21),,0,,"December 27, 2025 6:59 PM"
12/26 (https://www.notion.so/12-26-2d5d5c5438fd8076a46dcb166a8fc339?pvs=21),2025-12-26,36,"December 26, 2025 6:52 AM (GMT+9)","December 26, 2025 7:28 AM (GMT+9)","やった：学習計画をdiscrodでchatをしながら行い、学習計画をシェアした後にxの返信をしていた
詰まった/気づいた：
次：",3,3,3,3,No,,,.F_眠い・頭が重い (https://www.notion.so/F_-2d5d5c5438fd819a89a8fdcef1fba071?pvs=21),,0,,"December 27, 2025 6:59 PM"
12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-12-25,42,"December 25, 2025 7:54 AM (GMT+9)","December 25, 2025 8:36 AM (GMT+9)","やった：夕食後に少しリラックスしながら
詰まった/気づいた：技術面談のまとめが共有になるので少しめんどい時はそれを共有するkだけでokになる
次：",2,2,4,2,No,none,,,,0,,"December 26, 2025 9:11 PM"
12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-12-25,44,"December 25, 2025 5:33 PM (GMT+9)","December 25, 2025 6:17 PM (GMT+9)","やった：エラーログからランテくんaiに原因分析を手伝ってもらう
詰まった/気づいた：new アクションの定義不足
次：",4,4,2,4,Yes,,,.F_眠い・頭が重い (https://www.notion.so/F_-2d5d5c5438fd819a89a8fdcef1fba071?pvs=21),,44,,"December 27, 2025 5:46 PM"
12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-12-25,59,"December 25, 2025 3:17 PM (GMT+9)","December 25, 2025 4:16 PM (GMT+9)","やった：実装課題で機体処理が出ない
詰まった/気づいた：エラーが出て進まないことにイライラしたが、ログを見ることを意識してDockerでエラーログを発見することができた
次：",3,4,4,3,No,none,,,,0,,"December 27, 2025 5:37 PM"
12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-12-25,57,"December 25, 2025 1:40 PM (GMT+9)","December 25, 2025 2:37 PM (GMT+9)","やった：掲示板作成の実装。createアクションの処理学習
詰まった/気づいた：異なるクラスのモデル利用を定義するためのコーディング理解
次：",4,4,3,3.7,No,none,,,,0,,"December 27, 2025 5:38 PM"
12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-12-25,94,"December 25, 2025 10:40 AM (GMT+9)","December 25, 2025 12:14 PM (GMT+9)","やった：課題実装が１セッションで完了したのでそのまま技術面談ブロックに突入
詰まった/気づいた：口頭で伝える時には
この結論になりました。
それにいたった背景を説明していきます。
とやるのが良い
次：説明セットを用意しておく",5,5,1,5,Yes,none,,,,94,,"December 27, 2025 5:43 PM"
12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-12-25,89,"December 25, 2025 8:45 AM (GMT+9)","December 25, 2025 10:14 AM (GMT+9)","やった：アソシエーションについてchatgptを利用して解説と参照ドキュメントの提示。さらに解説
詰まった/気づいた：26m x 4m休みの３セットめは集中力が少しなくなる。でも学習はできた
次：理解をまとめるために技術面談で質問。次のセットでまとめる時間を作る",5,4,1,4.7,Yes,none,,,,89,,"December 27, 2025 5:43 PM"
12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-12-25,75,"December 25, 2025 7:15 AM (GMT+9)","December 25, 2025 8:30 AM (GMT+9)","やった：急にやりたいこと例)Amazonで買い物やsnsでの連絡など、を紙に書き出して後にすれば良いと考えてタスクを続けた
詰まった/気づいた：紙に書き出すと衝動が抑えられる
次：今日はぽもではなく午前に設定したブロックで休憩のタイミングで休憩をしていく",4,4,1,4.3,Yes,none,,,,75,,"December 27, 2025 5:43 PM"
12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-12-25,12,"December 25, 2025 7:03 AM (GMT+9)","December 25, 2025 7:15 AM (GMT+9)","やった：Discordで挨拶をしてから学習に集中すると宣言。カレンダーから1日の学習可能時間を計測して、目標を立てる
詰まった/気づいた：none
次：",4,3,2,3.7,No,,,,,0,,"December 27, 2025 5:38 PM"
12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-12-23,25,"December 23, 2025 5:21 PM (GMT+9)","December 23, 2025 5:46 PM (GMT+9)","やった：シフト休憩中に昨日やっていなかった機能の学習の振り返り
詰まった/気づいた：仕事で少しミスや苦手な人の場合学習に思いっきり集中できない
次：帰宅してから寝る前に今日の振り返りを行う",2,3,2,3,No,,,.F_環境ノイズ (https://www.notion.so/F_-2d5d5c5438fd81d78a16e0650125e5ca?pvs=21),,0,,"December 26, 2025 9:18 PM"
12/23 (https://www.notion.so/12-23-2d5d5c5438fd81afa55fd76ec25924bb?pvs=21),2025-12-23,56,"December 23, 2025 9:13 AM (GMT+9)","December 23, 2025 10:09 AM (GMT+9)","やった：運動後に30m好きなことを実施してこのセッション実施
詰まった/気づいた：頭がスッキリした感覚がり、xを触ろうと思ってもメタ認知が働いていた
次：",5,4,1,4.7,Yes,,.C_通知ゼロ (https://www.notion.so/C_-2d5d5c5438fd81a8b396d36ef55f80ce?pvs=21),,,56,,"December 26, 2025 4:27 PM"
12/22 (https://www.notion.so/12-22-2d5d5c5438fd818e98dbe5425f178774?pvs=21),2025-12-22,60,"December 22, 2025 7:32 PM (GMT+9)","December 22, 2025 8:32 PM (GMT+9)","やった：企画のイラストをchatgptで作成しながらカリキュラム
詰まった/気づいた：企画用のイラスト作成の反応が気になりカリキュラム中にxの反応チェック
次：xは明日チェック",3,2,4,2.3,No,,,.F_環境ノイズ (https://www.notion.so/F_-2d5d5c5438fd81d78a16e0650125e5ca?pvs=21),,0,,"December 26, 2025 9:13 PM"
12/22 (https://www.notion.so/12-22-2d5d5c5438fd818e98dbe5425f178774?pvs=21),2025-12-22,26,"December 22, 2025 5:25 PM (GMT+9)","December 22, 2025 5:51 PM (GMT+9)","やった：バスで帰宅中にPC一台で学習
詰まった/気づいた：画面が人のためページ移動で集中力なくなる
次：",3,2,4,2.3,No,,,.F_環境ノイズ (https://www.notion.so/F_-2d5d5c5438fd81d78a16e0650125e5ca?pvs=21),,0,,"December 26, 2025 9:11 PM"
12/22 (https://www.notion.so/12-22-2d5d5c5438fd818e98dbe5425f178774?pvs=21),2025-12-22,26,"December 22, 2025 6:23 AM (GMT+9)","December 22, 2025 6:49 AM (GMT+9)","やった：ペパーミント準備して眠いが学習スタート
詰まった/気づいた：眠気で集中して学習はできておらず何度か別のことに意識が逸れていた
次：カリキュラムのフラッシュ実装を始める",3,3,3,3,No,,,.F_眠い・頭が重い (https://www.notion.so/F_-2d5d5c5438fd819a89a8fdcef1fba071?pvs=21),,0,,"December 26, 2025 8:25 PM"
,2025-12-28,,"December 28, 2025 7:41 PM (GMT+9)",,,,,,2,No,,,,,0,,"December 28, 2025 7:41 PM"