Property,Date,Start,End,Duration Min,Time Band,Activity Type,Topic,Location,Energy,Focus,Quality,Distractions,Deep Work Score,Notes,Deep Work Band,Daily Review
,"December 9, 2025","December 9, 2025 12:18 PM (GMT+9)","December 9, 2025 12:44 PM (GMT+9)",26,昼,インプット,Webを支える技術,職場,3,3,3,眠気,3,mdファイル化と質問問題とプロジェクトの質問問題を作成した。やっぱり眠いし、実践型ではないのでいまいちブースとか館内,,12/8 (https://www.notion.so/12-8-2c3d5c5438fd80768a8bcdaae2bb99d2?pvs=21)
,"December 8, 2025","December 8, 2025 8:45 PM (GMT+9)","December 8, 2025 9:10 PM (GMT+9)",25,夜,インプット,Webを支える技術,自宅,3,3,3,,3,講座だけでコードを書くカリキュラムではないので流し読みになっている,,12/8 (https://www.notion.so/12-8-2c3d5c5438fd80768a8bcdaae2bb99d2?pvs=21)
,"December 8, 2025","December 8, 2025 5:15 PM (GMT+9)","December 8, 2025 5:41 PM (GMT+9)",26,夕方,インプット,Webを支える技術,帰宅,4,4,3,,3.7,カリキュラムの内容に対して疑問点を考える。これは集中力がなくてもできるが学習への効果が高い,,12/8 (https://www.notion.so/12-8-2c3d5c5438fd80768a8bcdaae2bb99d2?pvs=21)
,"December 8, 2025","December 8, 2025 12:10 PM (GMT+9)","December 8, 2025 12:40 PM (GMT+9)",30,昼,インプット,,職場,4,3,2,眠気,3,コーヒーを朝の1杯でリセットスタートしたから？眠気があってカリキュラムは流し見,,12/8 (https://www.notion.so/12-8-2c3d5c5438fd80768a8bcdaae2bb99d2?pvs=21)
,"December 11, 2025","December 11, 2025 8:10 AM (GMT+9)","December 11, 2025 10:40 AM (GMT+9)",150,朝,ダラダラ,,,1,0,0,"Netflix, 眠気",0.3,カフェイン断ちをしていて学習のスイッチが入らない。昨日夕勤で帰宅して夕食してベッドでnetflixで寝落ち。起きた時もいつもより1時間遅く、午前の時間をnetflix,,12/11 (https://www.notion.so/12-11-2c3d5c5438fd81b18fcae7a42b970e4e?pvs=21)
,"December 11, 2025","December 11, 2025 10:46 AM (GMT+9)","December 11, 2025 11:14 AM (GMT+9)",28,朝,学習計画,,,3,4,3,,3.3,1日の計画を立てる。この作業を行ったことで午前に記事作成、午後にカリキュラム（web）と、負荷のかかるタスクに優先順位をつけて計画を考えることができた,,12/11 (https://www.notion.so/12-11-2c3d5c5438fd81b18fcae7a42b970e4e?pvs=21)
,"December 11, 2025","December 11, 2025 11:14 AM (GMT+9)","December 11, 2025 12:02 PM (GMT+9)",48,昼,技術記事作成,,,4,3,3,,3.3,記事作成をスタートすることができた。notionでの作成を今月は続けることにした。図解の方法を考えるのに余計な時間を使ってしまった。先に記事を執筆して別日に探すようにしたらよかった。,,12/11 (https://www.notion.so/12-11-2c3d5c5438fd81b18fcae7a42b970e4e?pvs=21)
,"December 11, 2025","December 11, 2025 2:39 PM (GMT+9)","December 11, 2025 3:38 PM (GMT+9)",59,夕方,インプット,Webを支える技術,自宅,4,4,2,,3.3,webのデータベースに関してはさらっと読み込み。RailsのアクティブRecordについては疑問を作りながら作成,,12/11 (https://www.notion.so/12-11-2c3d5c5438fd81b18fcae7a42b970e4e?pvs=21)
,"December 11, 2025","December 11, 2025 3:56 PM (GMT+9)","December 11, 2025 4:57 PM (GMT+9)",61,夕方,"インプット, 実装",Rails入門②,自宅,4,5,4,,4.3,座学よりもコマンドや実物を操作しながらの方が集中できた,夕方,12/11 (https://www.notion.so/12-11-2c3d5c5438fd81b18fcae7a42b970e4e?pvs=21)
,"December 11, 2025","December 11, 2025 8:00 PM (GMT+9)","December 11, 2025 8:26 PM (GMT+9)",26,夜,技術記事作成,,,3,4,4,,3.7,夕食後にサボってしまっても良いかという気持ちがあったが、LINE返信行った後にそのまま行うとできた。前に簡単な作業を追加すると夕食後はその流れでできるかも,,12/11 (https://www.notion.so/12-11-2c3d5c5438fd81b18fcae7a42b970e4e?pvs=21)
,"December 11, 2025","December 11, 2025 8:49 PM (GMT+9)","December 11, 2025 9:35 PM (GMT+9)",46,夜,学習振り返り,,自宅,3,5,3,,3.7,,,12/11 (https://www.notion.so/12-11-2c3d5c5438fd81b18fcae7a42b970e4e?pvs=21)
,"December 12, 2025","December 12, 2025 9:05 AM (GMT+9)","December 12, 2025 9:59 AM (GMT+9)",54,朝,技術記事作成,Ruby入門,自宅,5,5,4,,4.7,朝の運動ルーチンを寒かったがやり切った後に、少しご褒美としてフレークを食べてスタートすると一気に行うことができた,朝,12/12 (https://www.notion.so/12-12-2c6d5c5438fd809fb711e6f55a920681?pvs=21)
,"December 12, 2025","December 12, 2025 10:26 AM (GMT+9)","December 12, 2025 11:48 AM (GMT+9)",82,朝,"技術記事作成, 概念図作成",Ruby入門,自宅,5,4,5,,4.7,いちどclaudeで作成してもらってそれを見ながら作成するとより洗練した概念図が作成できて、集中力も続いた,朝,12/12 (https://www.notion.so/12-12-2c6d5c5438fd809fb711e6f55a920681?pvs=21)
,"December 12, 2025","December 12, 2025 12:26 PM (GMT+9)","December 12, 2025 12:56 PM (GMT+9)",30,昼,"カリキュラム, 問題演習",Rails入門②,自宅,4,3,3,"Netflix, sns",3.3,技術記事を頑張ったから午後の少しの時間だけnetflix見ても良いかなという誘惑になった。散歩休憩後に学習をスタートするのが少し億劫だった,,12/12 (https://www.notion.so/12-12-2c6d5c5438fd809fb711e6f55a920681?pvs=21)
,"December 12, 2025","December 12, 2025 3:26 PM (GMT+9)","December 12, 2025 4:20 PM (GMT+9)",54,夕方,"インプット, カリキュラム, 実装",Rails入門②,自宅,4,5,4,,4.3,昼寝、買い物からのペパーミントを飲んでスタート。ペパーミントの匂い嗅ぎながらだとすんなり学習に入っている感じがりその後も学習に集中できていた,夕方,12/12 (https://www.notion.so/12-12-2c6d5c5438fd809fb711e6f55a920681?pvs=21)
,"December 12, 2025","December 12, 2025 4:39 PM (GMT+9)","December 12, 2025 5:37 PM (GMT+9)",58,夕方,"カリキュラム, 問題演習",Rails入門②,自宅,4,4,5,,4.3,17時までで良いかなと思ったけど、1週間の進捗状況で残り１コマ。でもフルに使えるのは明日のみでかつ、明日は午後からサウナに行くので勧めるだけ勧めることを意識して、１セッションを実施。結果１コマ完了,夕方,12/12 (https://www.notion.so/12-12-2c6d5c5438fd809fb711e6f55a920681?pvs=21)
,"December 12, 2025","December 12, 2025 8:40 PM (GMT+9)","December 12, 2025 9:32 PM (GMT+9)",52,夜,学習振り返り,,自宅,4,4,5,,4.3,17時までで良いかなと思ったけど、1週間の進捗状況で残り１コマ。でもフルに使えるのは明日のみでかつ、明日は午後からサウナに行くので勧めるだけ勧めることを意識して、１セッションを実施。結果１コマ完了,夜,12/12 (https://www.notion.so/12-12-2c6d5c5438fd809fb711e6f55a920681?pvs=21)
,"December 13, 2025","December 13, 2025 6:50 AM (GMT+9)","December 13, 2025 7:48 AM (GMT+9)",58,早朝,"インプット, カリキュラム, 問題演習",,自宅,3,4,4,"sns, 眠気",3.7,前日の睡眠時間が6:20程度かつ、寝る前はipadを使用していた。でも初めての6時おきからの学習という実験で、学習をすることができたし気分は良い,,12/13 (https://www.notion.so/12-13-2c7d5c5438fd8079a75df87502be68a0?pvs=21)
,"December 13, 2025","December 13, 2025 9:48 AM (GMT+9)","December 13, 2025 10:15 AM (GMT+9)",27,朝,学習計画,,自宅,5,2,3,sns,3.3,運動をしてスッキリして気分も良い状態だったが、遊びの予定変更の確認LINEや、Discrodのチャットが気にして気が散っていた,,12/13 (https://www.notion.so/12-13-2c7d5c5438fd8079a75df87502be68a0?pvs=21)
,"December 13, 2025","December 13, 2025 10:15 AM (GMT+9)","December 13, 2025 10:32 AM (GMT+9)",17,朝,"インプット, カリキュラム",Rails入門②,自宅,5,3,3,"sns, 急遽予定の確認や連絡",3.7,Discrodのチャットや、外出予定が入ってきて学習環境が整っていない状態,,12/13 (https://www.notion.so/12-13-2c7d5c5438fd8079a75df87502be68a0?pvs=21)
,"December 13, 2025","December 13, 2025 6:10 PM (GMT+9)","December 13, 2025 6:56 PM (GMT+9)",46,夜,"インプット, カリキュラム",Rails入門②,自宅,3,3,4,,3.3,サウナも行ったし、今週は頑張ったしまあいっかという思考が湧いていたが、少しでも進めることが将来につながると考えて、少しでもokマインドを発揮してスタートさせることができて、カリキュラムを進めることができた。集中力は高くなかっtが、学習の質に関しては深掘りする箇所とそうでない箇所を考えながら学習ができていた,,12/13 (https://www.notion.so/12-13-2c7d5c5438fd8079a75df87502be68a0?pvs=21)
,,,,,,,,,,,,,0,,,
,"December 9, 2025","December 9, 2025 12:18 PM (GMT+9)","December 9, 2025 12:44 PM (GMT+9)",26,昼,インプット,Webを支える技術,職場,3,3,3,眠気,3,mdファイル化と質問問題とプロジェクトの質問問題を作成した。やっぱり眠いし、実践型ではないのでいまいちブースとか館内,,12/8 (https://www.notion.so/12-8-2c3d5c5438fd80768a8bcdaae2bb99d2?pvs=21)
,"December 8, 2025","December 8, 2025 8:45 PM (GMT+9)","December 8, 2025 9:10 PM (GMT+9)",25,夜,インプット,Webを支える技術,自宅,3,3,3,,3,講座だけでコードを書くカリキュラムではないので流し読みになっている,,12/8 (https://www.notion.so/12-8-2c3d5c5438fd80768a8bcdaae2bb99d2?pvs=21)
,"December 8, 2025","December 8, 2025 5:15 PM (GMT+9)","December 8, 2025 5:41 PM (GMT+9)",26,夕方,インプット,Webを支える技術,帰宅,4,4,3,,3.7,カリキュラムの内容に対して疑問点を考える。これは集中力がなくてもできるが学習への効果が高い,,12/8 (https://www.notion.so/12-8-2c3d5c5438fd80768a8bcdaae2bb99d2?pvs=21)
,"December 8, 2025","December 8, 2025 12:10 PM (GMT+9)","December 8, 2025 12:40 PM (GMT+9)",30,昼,インプット,,職場,4,3,2,眠気,3,コーヒーを朝の1杯でリセットスタートしたから？眠気があってカリキュラムは流し見,,12/8 (https://www.notion.so/12-8-2c3d5c5438fd80768a8bcdaae2bb99d2?pvs=21)
,"December 11, 2025","December 11, 2025 8:10 AM (GMT+9)","December 11, 2025 10:40 AM (GMT+9)",150,朝,ダラダラ,,,1,0,0,"Netflix, 眠気",0.3,カフェイン断ちをしていて学習のスイッチが入らない。昨日夕勤で帰宅して夕食してベッドでnetflixで寝落ち。起きた時もいつもより1時間遅く、午前の時間をnetflix,,12/11 (https://www.notion.so/12-11-2c3d5c5438fd81b18fcae7a42b970e4e?pvs=21)
,"December 11, 2025","December 11, 2025 10:46 AM (GMT+9)","December 11, 2025 11:14 AM (GMT+9)",28,朝,学習計画,,,3,4,3,,3.3,1日の計画を立てる。この作業を行ったことで午前に記事作成、午後にカリキュラム（web）と、負荷のかかるタスクに優先順位をつけて計画を考えることができた,,12/11 (https://www.notion.so/12-11-2c3d5c5438fd81b18fcae7a42b970e4e?pvs=21)
,"December 11, 2025","December 11, 2025 11:14 AM (GMT+9)","December 11, 2025 12:02 PM (GMT+9)",48,昼,技術記事作成,,,4,3,3,,3.3,記事作成をスタートすることができた。notionでの作成を今月は続けることにした。図解の方法を考えるのに余計な時間を使ってしまった。先に記事を執筆して別日に探すようにしたらよかった。,,12/11 (https://www.notion.so/12-11-2c3d5c5438fd81b18fcae7a42b970e4e?pvs=21)
,"December 11, 2025","December 11, 2025 2:39 PM (GMT+9)","December 11, 2025 3:38 PM (GMT+9)",59,夕方,インプット,Webを支える技術,自宅,4,4,2,,3.3,webのデータベースに関してはさらっと読み込み。RailsのアクティブRecordについては疑問を作りながら作成,,12/11 (https://www.notion.so/12-11-2c3d5c5438fd81b18fcae7a42b970e4e?pvs=21)
,"December 11, 2025","December 11, 2025 3:56 PM (GMT+9)","December 11, 2025 4:57 PM (GMT+9)",61,夕方,"インプット, 実装",Rails入門②,自宅,4,5,4,,4.3,座学よりもコマンドや実物を操作しながらの方が集中できた,夕方,12/11 (https://www.notion.so/12-11-2c3d5c5438fd81b18fcae7a42b970e4e?pvs=21)
,"December 11, 2025","December 11, 2025 8:00 PM (GMT+9)","December 11, 2025 8:26 PM (GMT+9)",26,夜,技術記事作成,,,3,4,4,,3.7,夕食後にサボってしまっても良いかという気持ちがあったが、LINE返信行った後にそのまま行うとできた。前に簡単な作業を追加すると夕食後はその流れでできるかも,,12/11 (https://www.notion.so/12-11-2c3d5c5438fd81b18fcae7a42b970e4e?pvs=21)
,"December 11, 2025","December 11, 2025 8:49 PM (GMT+9)","December 11, 2025 9:35 PM (GMT+9)",46,夜,学習振り返り,,自宅,3,5,3,,3.7,,,12/11 (https://www.notion.so/12-11-2c3d5c5438fd81b18fcae7a42b970e4e?pvs=21)
,"December 12, 2025","December 12, 2025 9:05 AM (GMT+9)","December 12, 2025 9:59 AM (GMT+9)",54,朝,技術記事作成,Ruby入門,自宅,5,5,4,,4.7,朝の運動ルーチンを寒かったがやり切った後に、少しご褒美としてフレークを食べてスタートすると一気に行うことができた,朝,12/12 (https://www.notion.so/12-12-2c6d5c5438fd809fb711e6f55a920681?pvs=21)
,"December 12, 2025","December 12, 2025 10:26 AM (GMT+9)","December 12, 2025 11:48 AM (GMT+9)",82,朝,"技術記事作成, 概念図作成",Ruby入門,自宅,5,4,5,,4.7,いちどclaudeで作成してもらってそれを見ながら作成するとより洗練した概念図が作成できて、集中力も続いた,朝,12/12 (https://www.notion.so/12-12-2c6d5c5438fd809fb711e6f55a920681?pvs=21)
,"December 12, 2025","December 12, 2025 12:26 PM (GMT+9)","December 12, 2025 12:56 PM (GMT+9)",30,昼,"カリキュラム, 問題演習",Rails入門②,自宅,4,3,3,"Netflix, sns",3.3,技術記事を頑張ったから午後の少しの時間だけnetflix見ても良いかなという誘惑になった。散歩休憩後に学習をスタートするのが少し億劫だった,,12/12 (https://www.notion.so/12-12-2c6d5c5438fd809fb711e6f55a920681?pvs=21)
,"December 12, 2025","December 12, 2025 3:26 PM (GMT+9)","December 12, 2025 4:20 PM (GMT+9)",54,夕方,"インプット, カリキュラム, 実装",Rails入門②,自宅,4,5,4,,4.3,昼寝、買い物からのペパーミントを飲んでスタート。ペパーミントの匂い嗅ぎながらだとすんなり学習に入っている感じがりその後も学習に集中できていた,夕方,12/12 (https://www.notion.so/12-12-2c6d5c5438fd809fb711e6f55a920681?pvs=21)
,"December 12, 2025","December 12, 2025 4:39 PM (GMT+9)","December 12, 2025 5:37 PM (GMT+9)",58,夕方,"カリキュラム, 問題演習",Rails入門②,自宅,4,4,5,,4.3,17時までで良いかなと思ったけど、1週間の進捗状況で残り１コマ。でもフルに使えるのは明日のみでかつ、明日は午後からサウナに行くので勧めるだけ勧めることを意識して、１セッションを実施。結果１コマ完了,夕方,12/12 (https://www.notion.so/12-12-2c6d5c5438fd809fb711e6f55a920681?pvs=21)
,"December 12, 2025","December 12, 2025 8:40 PM (GMT+9)","December 12, 2025 9:32 PM (GMT+9)",52,夜,学習振り返り,,自宅,4,4,5,,4.3,17時までで良いかなと思ったけど、1週間の進捗状況で残り１コマ。でもフルに使えるのは明日のみでかつ、明日は午後からサウナに行くので勧めるだけ勧めることを意識して、１セッションを実施。結果１コマ完了,夜,12/12 (https://www.notion.so/12-12-2c6d5c5438fd809fb711e6f55a920681?pvs=21)
,"December 13, 2025","December 13, 2025 6:50 AM (GMT+9)","December 13, 2025 7:48 AM (GMT+9)",58,早朝,"インプット, カリキュラム, 問題演習",,自宅,3,4,4,"sns, 眠気",3.7,前日の睡眠時間が6:20程度かつ、寝る前はipadを使用していた。でも初めての6時おきからの学習という実験で、学習をすることができたし気分は良い,,12/13 (https://www.notion.so/12-13-2c7d5c5438fd8079a75df87502be68a0?pvs=21)
,"December 13, 2025","December 13, 2025 9:48 AM (GMT+9)","December 13, 2025 10:15 AM (GMT+9)",27,朝,学習計画,,自宅,5,2,3,sns,3.3,運動をしてスッキリして気分も良い状態だったが、遊びの予定変更の確認LINEや、Discrodのチャットが気にして気が散っていた,,12/13 (https://www.notion.so/12-13-2c7d5c5438fd8079a75df87502be68a0?pvs=21)
,"December 13, 2025","December 13, 2025 10:15 AM (GMT+9)","December 13, 2025 10:32 AM (GMT+9)",17,朝,"インプット, カリキュラム",Rails入門②,自宅,5,3,3,"sns, 急遽予定の確認や連絡",3.7,Discrodのチャットや、外出予定が入ってきて学習環境が整っていない状態,,12/13 (https://www.notion.so/12-13-2c7d5c5438fd8079a75df87502be68a0?pvs=21)
,"December 13, 2025","December 13, 2025 6:10 PM (GMT+9)","December 13, 2025 6:56 PM (GMT+9)",46,夜,"インプット, カリキュラム",Rails入門②,自宅,3,3,4,,3.3,サウナも行ったし、今週は頑張ったしまあいっかという思考が湧いていたが、少しでも進めることが将来につながると考えて、少しでもokマインドを発揮してスタートさせることができて、カリキュラムを進めることができた。集中力は高くなかっtが、学習の質に関しては深掘りする箇所とそうでない箇所を考えながら学習ができていた,,12/13 (https://www.notion.so/12-13-2c7d5c5438fd8079a75df87502be68a0?pvs=21)
,,,,,,,,,,,,,0,,,